word_form	frequency	length
que	33	3
kontekście	33	10
zauważa	33	7
regionów	32	8
go	32	2
procedury	32	9
priority	32	8
was	32	3
been	32	4
rapporteur	32	10
powinno	32	7
który	32	5
crossborder	32	11
development	32	11
lat	32	3
osiągnięcia	32	11
kobiet	32	6
członkiem	32	9
wiarygodności	32	13
funduszy	32	8
realizacji	32	10
związanych	32	10
européenne	32	10
wyjątkiem	31	9
zaproponowanej	31	14
opracowania	31	11
wewnętrznego	31	12
zatwierdzenia	31	13
marca	31	5
these	31	5
all	31	3
przedmiotowo	31	12
też	31	3
implementation	31	14
parlamentem	31	11
państwach	31	9
wykorzystania	31	13
finansów	31	8
koordynacji	31	11
rybołówstwa	31	11
objaśnienie	30	11
używanych	30	9
znaków	30	6
wymagana	30	8
wskazana	30	8
opiera	30	6
danej	30	5
wymagają	30	8
właściwych	30	10
właściwa	30	8
jej	30	3
dyrektora	30	9
other	30	5
systemów	30	8
ponadto	30	7
more	30	4
możliwości	30	10
praw	30	4
krajowe	30	7
mają	30	4
politique	30	9
publicznej	29	10
but	29	3
public	29	6
their	29	5
zastępcay	29	9
prawa	29	5
bez	29	3
socjalnej	29	9
byłem	29	5
wiejskich	29	9
forêts	29	6
ujętych	28	7
jan	28	3
transportu	28	10
market	28	6
stosowne	28	8
ona	28	3
national	28	8
would	28	5
okres	28	5
finansowej	28	10
programme	28	9
publicznego	28	11
obecnyi	28	7
wyniki	28	6
lata	28	4
est	28	3
pour	28	4
sektorze	28	8
publicznych	28	11
polityk	28	7
zwłaszcza	28	9
oczywisty	27	9
językowej	27	9
zatwierdza	27	10
przeciw	27	7
system	27	6
common	27	6
sprawy	27	6
takich	27	6
must	27	4
krajowych	27	9
zarówno	27	7
znaczenie	27	9
plan	27	4
żywności	27	8
office	27	6
musi	27	4
delokalizacji	27	13
zaznaczone	26	10
wytłuszczonym	26	13
drukiem	26	7
zwykłą	26	6
wskazówką	26	9
proponowana	26	11
korekta	26	7
błędnych	26	8
brakujących	26	11
wersji	26	6
sugestie	26	8
korekty	26	7
będzie	26	6
no	26	2
sector	26	6
mu	26	2
innych	26	6
obecnie	26	7
project	26	7
będą	26	4
ce	26	2
rolnictwa	26	9
obrachunkowy	26	12
pod	26	3
jakie	26	5
związane	26	8
finansowe	26	9
element	26	7
źródeł	26	6
forestière	26	10
wstrzymujących	25	14
ewg	25	3
socjalnych	25	10
years	25	5
dyrektywę	25	9
przed	25	5
którym	25	6
tak	25	3
zasobów	25	7
uważam	25	6
mogłyby	25	7
pan	25	3
zwalczania	25	10
miejsc	25	6
społecznych	25	11
warunków	24	8
swoją	24	5
particular	24	10
innym	24	5
if	24	2
europejskie	24	11
procedure	24	9
ta	24	2
niż	24	3
agencji	24	7
załącznik	24	9
była	24	4
członek	24	7
rozwój	24	6
odnawialnych	24	12
fish	24	4
ubóstwa	24	7
poverty	24	7
przemysłu	23	9
zalecenia	23	9
odpowiednie	23	11
dotyczący	23	9
ustęp	23	5
first	23	5
został	23	6
akapit	23	6
organów	23	7
provisions	23	10
period	23	6
up	23	2
ram	23	3
zasad	23	5
nad	23	3
potrzeby	23	8
która	23	5
europejską	23	10
innymi	23	6
sytuacji	23	8
różnych	23	7
stopniu	23	7
wartości	23	8
gospodarczego	23	13
drewna	23	6
forestier	23	9
badań	22	5
uzasadnienia	22	12
stwierdza	22	9
between	22	7
ponowne	22	7
proponowany	22	11
regionalnego	22	12
report	22	6
your	22	4
angielskim	22	10
obywateli	22	9
politycznych	22	12
zasady	22	6
some	22	4
management	22	10
ani	22	3
pierwszy	22	8
sprawozdaniu	22	12
przyczynić	22	10
powinna	22	7
bardzo	22	6
pytanie	22	7
wspólnotowych	22	13
secteur	22	7
komunikat	22	9
sieci	21	5
potrzebę	21	8
nowy	21	4
such	21	4
amendment	21	9
proposed	21	8
position	21	8
prawna	21	6
współpraca	21	10
krajach	21	7
communication	21	13
order	21	5
conditions	21	10
życie	21	5
stanowi	21	7
prawnych	21	8
instytucje	21	10
zmieniającego	21	13
necessary	21	9
support	21	7
sources	21	7
dane	21	4
rezolucję	21	9
wspólnej	21	8
było	21	4
były	21	4
można	21	5
kwestii	21	7
przyjmuje	21	9
muszą	21	5
wykorzystanie	21	13
nowych	21	6
européen	21	8
ne	21	2
globalizacji	21	12
heating	21	7
zachowania	20	10
komitetem	20	9
josé	20	4
policy	20	6
adopted	20	7
którymi	20	7
el	20	2
state	20	5
concerned	20	9
shall	20	5
transeuropean	20	13
point	20	5
million	20	7
annex	20	5
use	20	3
zdania	20	6
zasięgnięcie	20	12
jednym	20	6
dokonaniu	20	9
odpowiedzi	20	10
gdy	20	3
konieczne	20	9
systemy	20	7
już	20	3
zarządzanie	20	11
metod	20	5
lecz	20	4
funduszu	20	8
życia	20	5
ou	20	2
aux	20	3
czytania	19	8
turystyki	19	9
niektórych	19	10
konieczność	19	11
postępowania	19	12
possible	19	8
each	19	4
towarów	19	7
znaczących	19	10
członków	19	8
committee	19	9
edit	19	4
kształcenia	19	11
jaki	19	4
rada	19	4
agencies	19	8
względu	19	7
zawodowego	19	10
euratom	19	7
mocy	19	4
wpływ	19	5
zapewnić	19	8
wykonania	19	9
wsparcia	19	8
pomiędzy	19	8
opisać	19	6
proszę	19	6
stanowią	19	8
zrównoważonej	19	13
chłodzenia	19	10
cooling	19	7
restrukturyzacje	19	16
naukowych	18	9
ale	18	3
konsultacja	18	11
grudnia	18	7
sektor	18	6
concerning	18	10
odsyłacze	18	9
nieopublikowany	18	15
maria	18	5
organy	18	6
countries	18	9
any	18	3
europejska	18	10
możliwość	18	9
interest	18	8
networks	18	8
natural	18	7
regulaminowa	18	12
ponieważ	18	8
niniejszej	18	10
zadania	18	7
warunki	18	7
produktów	18	9
grupy	18	5
absolutorium	18	12
możliwe	18	7
dzięki	18	6
gdzie	18	5
którego	18	7
takie	18	5
międzynarodowych	18	16
gospodarczych	18	13
zadowoleniem	18	12
sektora	18	7
dzieci	18	6
przewodniczący	18	14
cele	18	4
działalność	18	11
commune	18	7
pas	18	3
wzrostu	18	7
produkcji	18	9
konkurencyjności	18	16
lizbońskiej	18	11
opieki	18	6
przyjęcie	17	9
policies	17	8
into	17	4
members	17	7
increase	17	8
taken	17	5
set	17	3
amendments	17	10
made	17	4
participation	17	13
including	17	9
those	17	5
kultury	17	7
jednak	17	6
health	17	6
europe	17	6
both	17	4
zarządzającego	17	14
zarząd	17	6
swoich	17	6
społeczeństwa	17	13
javier	17	6
zapewnienie	17	11
fakt	17	4
funkcji	17	7
mojej	17	5
zobowiązań	17	10
udziału	17	7
pomoc	17	5
wszystkim	17	9
metody	17	6
wielu	17	5
im	17	2
zrównoważonego	17	14
l'union	17	7
mających	17	8
share	17	5
ogrzewania	17	10
analizy	16	7
van	16	3
zostały	16	7
make	16	4
now	16	3
appropriate	16	11
komisjae	16	8
wyznaczonae	16	11
ściślejsza	16	10
podstawy	16	8
wprowadzenia	16	12
tekstem	16	7
uzna	16	4
funds	16	5
reduce	16	6
out	16	3
sprawiedliwości	16	15
given	16	5
tent	16	4
funding	16	7
wszelkich	16	9
skutków	16	7
trakcie	16	7
parlement	16	9
agency	16	6
świetle	16	7
iż	16	2
celem	16	5
wewnętrznej	16	11
strony	16	6
wiele	16	5
poszczególnych	16	14
komitet	16	7
odpowiednich	16	12
pana	16	4
las	16	3
spójności	16	9
quality	16	7
zachęca	16	7
nous	16	4
leśnych	16	7
europie	16	7
technologii	16	11
rynek	16	5
drugiego	15	8
dostęp	15	6
istnieje	15	8
oznacza	15	7
marie	15	5
del	15	3
wszystkie	15	9
framework	15	9
zastąpienie	15	11
through	15	7
total	15	5
basis	15	5
instrument	15	10
may	15	3
control	15	7
polityka	15	8
sprawach	15	8
giuseppe	15	8
network	15	7
being	15	5
evaluation	15	10
jedynie	15	7
wspólnot	15	8
kodeksu	15	7
dniu	15	4
dlatego	15	7
dostępne	15	8
ocena	15	5
zapobiegania	15	12
pomés	15	5
ruiz	15	4
wydatków	15	8
adar	15	4
powinien	15	8
właściwego	15	10
prac	15	4
ważne	15	5
obszaru	15	7
wagę	15	4
stosowania	15	10
zwiększenie	15	11
wobec	15	5
badania	15	7
szczeblu	15	8
monitorowania	15	13
unia	15	4
conseil	15	7
délocalisations	15	15
entreprises	15	11
wspierania	15	10
marine	15	6
radiation	15	9
istotne	14	7
organizacji	14	11
członkowskim	14	12
wraz	14	4
level	14	5
however	14	7
particularly	14	12
euwt	14	4
law	14	3
objectives	14	10
ii	14	2
niewydana	14	9
wewnętrznych	14	12
krajowym	14	8
amount	14	6
sustainable	14	11
private	14	7
following	14	9
could	14	5
impact	14	6
terms	14	5
important	14	9
której	14	6
ochronę	14	7
odpowiedzialności	14	17
gospodarczej	14	12
wydaje	14	6
pierwszej	14	9
été	14	3
oparciu	14	7
poświadczenia	14	13
chodzi	14	6
państwami	14	9
członkowskimi	14	13
programów	14	9
obowiązki	14	9
inne	14	4
europy	14	6
podstawowych	14	12
będę	14	4
standardów	14	10
grup	14	4
niezależności	14	13
sekcji	14	6
odpowiedzialny	14	14
uniwersytet	14	11
wysiłki	14	7
tworzenia	14	9
poza	14	4
planu	14	5
ochrona	14	7
wysokiej	14	8
społecznym	14	10
różnorodności	14	13
połowu	14	6
rural	14	5
a6	13	2
pełni	13	5
skuteczne	13	9
przypadkach	13	11
opinie	13	6
ferreira	13	8
they	13	4
several	13	7
uproszczona	13	11
regions	13	7
part	13	4
regulations	13	11
tasks	13	5
przedstawienia	13	14
programu	13	8
gargani	13	7
września	13	8
action	13	6
take	13	4
environment	13	11
value	13	5
investment	13	10
after	13	5
rate	13	4
annual	13	6
reference	13	9
when	13	4
further	13	7
need	13	4
role	13	4
lipca	13	5
numer	13	5
zdaniem	13	7
wysłuchaniu	13	11
przedstawiciela	13	15
directors	13	9
równego	13	7
nominacji	13	9
unijnych	13	8
jednakże	13	8
poziomu	13	7
korzyści	13	8
powyższym	13	9
jestem	13	6
niezależność	13	12
daniel	13	6
wykluczenia	13	11
wytycznych	13	10
zwiększenia	13	11
modelu	13	6
proposition	13	11
ont	13	3
gestion	13	7
sont	13	4
wyraża	13	6
zaleca	13	6
unię	13	4
konsumentów	13	11
économique	13	10
production	13	10
stratégie	13	9
leśnym	13	6
leśnego	13	7
l'ue	13	4
promotion	13	9
fisheries	13	9
electricity	13	11
workers	13	7
przeprowadzenia	12	15
richard	12	7
stworzenia	12	10
inicjatywy	12	10
trakatellis	12	11
various	12	7
provide	12	7
so	12	2
przedłożenie	12	12
cel	12	3
billion	12	7
achieved	12	8
treaty	12	6
rules	12	5
within	12	6
because	12	7
accordance	12	10
subject	12	7
ustanawiającego	12	15
braku	12	5
rodzaju	12	7
guidelines	12	10
identified	12	10
formation	12	9
maximum	12	7
levels	12	6
areas	12	5
contribution	12	12
agreement	12	9
access	12	6
ensure	12	6
information	12	11
następujących	12	13
takiej	12	6
zastosowania	12	12
wspólnotowego	12	13
swojej	12	6
dłuższy	12	7
następne	12	8
opiniodawczej	12	13
pięć	12	4
problem	12	7
than	12	4
radę	12	4
máire	12	5
geogheganquinn	12	14
pochodzenia	12	11
seminarium	12	10
większą	12	7
przykład	12	8
byłaby	12	6
przede	12	6
obszarach	12	9
różne	12	5
reformy	12	7
strukturalnych	12	14
włoskiego	12	9
conciliation	12	12
se	12	2
plus	12	4
wsi	12	3
zatrudnienie	12	12
otwartej	12	8
biologicznej	12	12
lasy	12	4
szkoleń	12	7
stratégique	12	11
gładzicy	12	8
box	12	3
exclusion	12	9
nieopublikowane	11	15
jednocześnie	11	12
którą	11	5
elisabeth	11	9
przyjęte	11	8
urzędu	11	6
ciągu	11	5
państwom	11	8
maría	11	5
aktu	11	4
key	11	3
instruments	11	11
decisions	11	9
herbert	11	7
mające	11	6
każdym	11	6
proposes	11	8
budget	11	6
internal	11	8
achieve	11	7
down	11	4
legislative	11	11
regional	11	8
three	11	5
respect	11	7
activities	11	10
authority	11	9
herczog	11	7
edukacji	11	8
nowe	11	4
czerwca	11	7
grant	11	5
notably	11	7
resources	11	9
costs	11	5
ogólne	11	6
poprawek	11	8
overall	11	7
there	11	5
systems	11	7
well	11	4
technical	11	9
wnioski	11	7
przepisy	11	8
minister	11	8
właściwym	11	9
francuskim	11	10
pytania	11	7
dokonywaniu	11	11
uwzględnia	11	10
ces	11	3
afin	11	4
employment	11	10
właściwej	11	9
swoim	11	5
dyskryminacji	11	13
mężczyzn	11	8
skonsultowała	11	13
kryteriów	11	9
stanu	11	5
stycznia	11	8
cocobu	11	6
zawsze	11	6
mimo	11	4
poziom	11	6
trybunale	11	9
każdego	11	7
sporządzenia	11	12
trybunałem	11	10
byłoby	11	6
myślą	11	5
część	11	5
nimi	11	4
zobowiązania	11	12
często	11	6
obecne	11	6
aspekty	11	7
sektorów	11	8
zakresu	11	7
odpowiednią	11	11
sądzę	11	5
władze	11	6
interesów	11	9
międzynarodowego	11	16
konstytucyjnego	11	15
najmniej	11	8
zatem	11	5
punktu	11	6
widzenia	11	8
obszarze	11	8
bathing	11	7
travail	11	7
uznałaby	11	8
podjęcia	11	8
délocalisation	11	14
sektorem	11	8
odnawialnej	11	11
d'action	11	8
durable	11	7
élément	11	7
discards	11	8
zagwarantowania	11	15
zaznacza	11	8
jean	10	4
odnoszących	10	11
członkowskiego	10	14
antonios	10	8
thomas	10	6
tadeusz	10	7
prawnego	10	8
available	10	9
sectors	10	7
importance	10	10
consumption	10	11
therefore	10	9
view	10	4
pierwszego	10	10
den	10	3
skuteczność	10	11
place	10	5
primary	10	7
established	10	11
potential	10	9
considers	10	9
without	10	7
two	10	3
carry	10	5
question	10	8
whether	10	7
end	10	3
dostosowania	10	12
samym	10	5
manuel	10	6
wzmocnienia	10	11
number	10	6
effect	10	6
construction	10	12
studies	10	7
environmental	10	13
effective	10	9
risk	10	4
multiannual	10	11
seán	10	4
neachtain	10	9
were	10	4
progress	10	8
expenditure	10	11
based	10	5
account	10	7
long	10	4
means	10	5
monitoring	10	10
casaca	10	6
państwo	10	7
organu	10	6
przedłużona	10	11
uzyskane	10	8
appointing	10	10
same	10	4
doświadczenie	10	13
decyzję	10	7
określonych	10	11
trybunałowi	10	11
legalności	10	10
ogólnie	10	7
najbardziej	10	11
podstaw	10	7
podejście	10	9
niezależnie	10	11
wyników	10	7
taki	10	4
wszelkie	10	8
czyli	10	5
gdyby	10	5
poświadczenie	10	13
dialog	10	6
kwestie	10	7
problemów	10	9
rozwiązań	10	9
części	10	6
udział	10	6
decyzje	10	7
je	10	2
doświadczenia	10	13
moim	10	4
iles	10	4
braghetto	10	9
ryzyka	10	6
źródła	10	6
utrzymania	10	10
ryzyko	10	6
przyszłości	10	11
poprzedni	10	9
momencie	10	8
wewnętrzny	10	10
da	10	2
lizbonie	10	8
delegacji	10	9
danych	10	6
promowania	10	10
delegation	10	10
reached	10	7
mesures	10	7
przemysł	10	8
wpływu	10	6
qu	10	2
développement	10	13
lasu	10	4
pożarom	10	7
połowów	10	7
target	10	6
ciepłownictwa	10	13
intended	10	8
axis	10	4
pierwszym	9	9
czytaniu	9	8
według	9	6
zdolność	9	8
jerzy	9	5
odnośnie	9	8
związanej	9	9
deputowanych	9	12
teksty	9	6
joel	9	4
hasse	9	5
cover	9	5
draft	9	5
where	9	5
kurt	9	4
articles	9	8
inés	9	4
ayala	9	5
sender	9	6
sobie	9	5
walki	9	5
ubóstwem	9	8
lokalnych	9	9
utworzenia	9	10
text	9	4
objective	9	9
allow	9	5
existing	9	8
local	9	5
regards	9	7
programy	9	8
umberto	9	7
istniejących	9	12
posiada	9	7
hanspeter	9	9
zwiefka	9	7
względem	9	8
sekcja	9	6
przeanalizowania	9	16
meeting	9	7
investments	9	11
changes	9	7
time	9	4
sections	9	8
able	9	4
methods	9	7
interoperability	9	16
works	9	5
eligible	9	8
conformity	9	10
high	9	4
average	9	7
cases	9	5
put	9	3
already	9	7
reduction	9	9
them	9	4
programmes	9	10
over	9	4
request	9	7
results	9	7
paulo	9	5
martin	9	6
ustawodawstw	9	12
mieć	9	4
następujące	9	11
mianowany	9	9
udzielenia	9	10
membres	9	7
cette	9	5
leur	9	4
ustanowienia	9	12
centrum	9	7
basic	9	5
równouprawnienia	9	16
zasadę	9	6
traktowania	9	11
prawidłowości	9	13
nawet	9	5
uwzględnieniem	9	14
prace	9	5
nich	9	4
rok	9	3
osiągnięcie	9	11
niezwykle	9	9
wyraźnie	9	8
miejsce	9	7
moich	9	5
wynikające	9	10
krajów	9	6
pełnienia	9	9
członkowie	9	10
mnie	9	4
najważniejsze	9	13
jeden	9	5
skutecznych	9	11
rozwijanie	9	10
olaf	9	4
ogólnym	9	7
kilka	9	5
posiedzenia	9	11
zmniejszenia	9	12
obrachunkowym	9	13
powodu	9	6
drugi	9	5
pełnego	9	7
władz	9	5
entre	9	5
fiscal	9	6
perspektywy	9	11
zainteresowanych	9	16
procesu	9	7
domaga	9	6
środowisko	9	10
węgla	9	5
zmierzających	9	13
roboczej	9	8
społeczna	9	9
licencji	9	8
concernant	9	10
services	9	8
avec	9	4
informowania	9	12
stanowić	9	8
zachęty	9	7
ponownie	9	8
sein	9	4
régions	9	7
technologies	9	12
gatunków	9	8
poważne	9	7
kwadratu	9	8
szetlandzkiego	9	14
stocks	9	6
odnawialne	9	10
chłodnictwa	9	11
partnerów	9	9
emerytalnych	9	12
osoby	9	5
inclusion	9	9
zalecenie	8	9
mającego	8	8
przedstawionego	8	15
przedstawione	8	13
zasadą	8	6
stavros	8	7
adam	8	4
garcía	8	6
zita	8	4
louis	8	5
dyrektywa	8	9
czasu	8	5
zezwolenia	8	10
taka	8	4
własnej	8	7
postanowieniami	8	15
anne	8	4
podpisania	8	10
przewodniczącym	8	15
single	8	6
needs	8	5
since	8	5
reading	8	7
force	8	5
before	8	6
zmieniony	8	9
robert	8	6
mann	8	4
wymogów	8	7
michael	8	7
zagranicznych	8	13
karin	8	5
general	8	7
cohesion	8	8
interregional	8	13
mr	8	2
third	8	5
specific	8	8
actions	8	7
referred	8	8
main	8	4
right	8	5
wskazuje	8	8
david	8	5
berger	8	6
lechner	8	7
klausheiner	8	11
lehne	8	5
pomimo	8	6
bert	8	4
doorn	8	5
ogólnych	8	8
finansowania	8	12
parts	8	5
financing	8	9
risks	8	5
relation	8	8
related	8	7
domain	8	6
initial	8	7
work	8	4
amended	8	7
current	8	7
limit	8	5
certain	8	7
provided	8	8
different	8	9
elles	8	5
kyösti	8	6
virrankoski	8	11
zmieniającej	8	12
etapu	8	5
values	8	6
above	8	5
give	8	4
wspólnocie	8	10
maja	8	4
sprawa	8	6
ewentualne	8	10
roli	8	4
pięciu	8	6
jednokrotnie	8	12
base	8	4
requirements	8	12
wykonawczego	8	12
bauer	8	5
życiorys	8	8
dwóch	8	5
czasie	8	6
kontrolę	8	8
stanie	8	6
pozytywnego	8	11
obowiązkiem	8	11
niezbędne	8	9
traktat	8	7
wysiłków	8	8
oczywiście	8	10
debaty	8	6
niezbędnych	8	11
wizerunku	8	9
przejrzystości	8	14
specjalne	8	9
wiadomo	8	7
instytucjami	8	12
szczegółowo	8	11
komisją	8	7
częściowo	8	9
cechy	8	5
należytego	8	10
istnieć	8	7
podejmowane	8	11
którzy	8	6
przeszłości	8	11
szczególną	8	10
struktury	8	9
trudności	8	9
całkowicie	8	10
politycznej	8	11
komunikacji	8	11
zadań	8	5
wyłącznie	8	9
kolidować	8	9
obowiązkami	8	11
kontrolą	8	8
gwarancji	8	9
problemy	8	8
dotyczy	8	7
główną	8	6
przeglądu	8	9
wskazówek	8	9
dalsze	8	6
caspary	8	7
karela	8	6
pinxtena	8	8
publiczne	8	9
źródłem	8	7
wkład	8	5
uwzględnienie	8	13
mógłby	8	6
skuteczności	8	12
jakim	8	5
wiedzy	8	6
skutki	8	6
instytucja	8	10
juana	8	5
massaneta	8	9
specjalności	8	12
derecho	8	7
rachunkowości	8	13
dochodów	8	8
kosztów	8	7
odpowiedniej	8	12
kompetencji	8	11
uwzględnienia	8	13
dużym	8	5
vítora	8	6
manuela	8	7
silvy	8	5
caldeiry	8	8
wspólnotowym	8	12
ograniczeń	8	10
wspólnych	8	9
większej	8	8
massima	8	7
variego	8	7
problemu	8	8
konwencji	8	9
dostępie	8	8
pecons	8	6
second	8	6
przedłużenie	8	12
terminu	8	7
circulation	8	11
cadre	8	5
niveau	8	6
membre	8	6
zakładów	8	8
długoterminowej	8	15
utraty	8	6
świecie	8	7
produkty	8	8
całe	8	4
innowacji	8	9
emploi	8	6
activités	8	9
fonds	8	5
entreprise	8	10
même	8	4
pays	8	4
lasami	8	6
strategicznych	8	14
strategie	8	9
naturalnych	8	11
promowanie	8	10
proponuje	8	9
przyjaznych	8	11
kwalifikacji	8	12
plaice	8	6
species	8	7
future	8	6
energię	8	7
solar	8	5
handlowych	8	10
gwarantowanych	8	14
exposure	8	8
wykluczeniem	8	12
trwałości	8	9
lifelong	8	8
learning	8	8
zajęte	7	6
przejrzyste	7	11
uwzględnić	7	10
odpowiedniego	7	13
jaką	7	4
giovanni	7	8
lambert	7	7
markus	7	6
vladimír	7	8
seeber	7	6
minimalnych	7	11
transportowych	7	14
ekspertyzę	7	10
zostaje	7	7
mary	7	4
peter	7	5
marcello	7	8
vernola	7	7
generalnego	7	11
context	7	7
whole	7	5
aim	7	3
opinion	7	7
thus	7	4
itself	7	6
othmar	7	6
karas	7	5
philip	7	6
petr	7	4
duchoň	7	6
integracja	7	10
potencjału	7	10
regionalnych	7	12
csaba	7	5
carl	7	4
schlyter	7	8
capacity	7	8
limits	7	6
include	7	7
territorial	7	11
transnational	7	13
integration	7	11
purpose	7	7
forms	7	5
bodies	7	6
very	7	4
nature	7	6
way	7	3
binding	7	7
case	7	4
then	7	4
convention	7	10
he	7	2
projekcie	7	9
guidoni	7	7
postępowanie	7	12
wolności	7	8
nadal	7	5
ramy	7	4
aloyzas	7	7
sakalas	7	7
rainer	7	6
wieland	7	7
funkcjonowania	7	14
zaufania	7	8
wyzwań	7	6
priorities	7	10
field	7	5
communautaire	7	13
added	7	5
direct	7	6
phase	7	5
competition	7	11
budgetary	7	9
apply	7	5
draftsman	7	9
included	7	8
far	7	3
better	7	6
safety	7	6
considered	7	10
conclusion	7	10
minimum	7	7
commitment	7	10
practice	7	8
submitted	7	9
while	7	5
least	7	5
