word_form	frequency	length
általános	128	9
következő	128	9
dans	128	4
belső	127	5
rendeletre	127	10
közösség	127	8
ezért	127	5
egészséggel	127	11
procedure	127	9
valamennyi	126	10
együttműködési	125	14
esetben	125	7
nemzetközi	125	10
intézkedések	125	12
ennek	124	5
also	124	4
azon	123	4
has	123	3
megújuló	123	8
del	122	3
fejlesztési	122	11
di	122	2
egyéb	121	5
képviselőjének	120	14
azok	119	4
can	119	3
eljárási	118	8
fontos	117	6
ezt	116	3
directive	116	9
javaslat	115	8
program	115	7
jóváhagyásához	114	14
countries	114	9
wto	114	3
még	113	3
hl	112	2
országok	112	8
után	110	4
bekezdésében	110	12
all	110	3
its	110	3
du	109	2
bekezdése	108	9
hivatalos	107	9
megállapodás	107	12
különböző	106	9
would	106	5
tudományos	106	10
other	106	5
jelentős	106	8
környezetvédelmi	106	16
no	105	2
szolgáltatások	105	14
különleges	105	10
programok	105	9
szerződés	104	9
rendelkezésre	104	13
terén	104	5
állítások	104	9
elfogadott	103	10
együttműködés	103	13
képviselők	102	10
esetén	101	6
nélkül	101	6
éves	101	4
therefore	100	9
több	100	4
lehet	100	5
il	100	2
union	99	5
fenntartható	99	12
mely	98	4
módon	98	5
vizsgálat	98	9
food	98	4
információs	97	11
bizottságban	97	12
health	97	6
révén	96	5
new	96	3
only	96	4
további	96	7
beleértve	95	9
lehetővé	95	8
termékek	95	8
energy	95	6
erdészeti	95	9
alá	94	3
tartozó	94	7
folytatott	94	10
order	94	5
für	93	3
parlamenthez	92	12
szakasz	92	7
intézkedéseket	92	14
their	92	5
továbbá	91	7
részt	91	5
javaslatról	91	11
nagyobb	91	7
cikkére	90	7
át	90	2
akkor	90	5
pour	90	4
vidékfejlesztési	90	16
kijelölés	89	9
év	89	2
biztosítása	89	11
tanácsnak	89	9
saját	89	5
more	89	4
must	89	4
parliament	89	10
előadó	88	6
legalább	88	8
protection	88	10
módosított	87	10
ec	87	2
amendment	87	9
piaci	86	5
council	86	7
such	86	4
sur	86	3
módosító	85	8
eredménye	85	9
szabályok	85	9
előadók	85	7
már	85	3
élelmiszer	85	10
módosítás	85	9
hivatali	85	8
szükség	84	7
cikkben	84	7
tagállam	84	8
környezeti	84	10
tagállamokat	83	12
előadója	83	8
véleményt	82	9
information	82	11
arról	82	5
részéről	82	8
alapvető	82	8
állami	82	6
zárószavazás	81	12
kellene	81	7
véli	80	4
termék	80	6
market	80	6
they	80	4
elutasításához	79	14
jogalap	79	7
francia	79	7
azokat	79	6
important	79	9
eljárások	78	9
hatékony	78	8
amelyeket	78	9
parlamentnek	78	12
into	78	4
ellenőrzési	77	11
bekezdésének	77	12
módosításához	76	13
proposed	76	8
may	76	3
se	76	2
ein	76	3
elő	76	3
if	76	2
lisszaboni	76	10
stratégiai	76	10
européenne	76	10
bekezdésére	75	11
követően	75	8
ce	75	2
azonban	75	7
national	75	8
értékelés	75	9
au	75	2
projektek	75	9
nők	75	3
véleményének	74	12
súlyos	74	6
előtt	74	5
par	74	3
eszköz	74	6
es	73	2
hozott	73	6
under	73	5
célja	73	5
támogatása	73	10
társadalom	73	10
rendszerek	72	10
vonatkozik	72	10
been	72	4
measures	72	8
est	72	3
mértékben	71	9
törölve	71	7
szerinti	71	8
these	71	5
fogyasztó	71	9
use	71	3
természeti	71	10
partnerségi	71	11
dőlt	70	4
értelmében	70	10
nagy	70	4
ne	70	2
elfogadás	70	9
von	70	3
szinten	70	7
ebben	70	5
ezek	70	4
abban	70	5
tett	70	4
social	70	6
galileo	70	7
ig	69	2
hivatkozások	69	12
területeken	69	11
between	69	7
kulturális	69	10
financial	69	9
keresztül	69	9
figyelmet	69	9
fishing	69	7
las	68	3
megerősített	68	12
régiók	68	6
élelmiszerek	68	12
egészségre	68	10
szolgáló	68	8
elleni	68	6
közzé	67	5
venni	67	5
legal	67	5
részére	67	7
cooperation	67	11
agreement	67	9
politika	67	8
üdvözli	67	7
amikor	66	6
benyújtás	66	9
december	66	8
vállalkozások	66	13
jelentést	66	9
public	66	6
intézmények	66	11
kéri	66	4
rapporteur	66	10
fejlődő	66	7
tevékenységek	66	13
javaslatát	65	10
adatok	65	6
alatt	65	5
anyagok	65	7
access	65	6
was	65	3
cselekvési	65	10
területek	65	9
ikt	65	3
kivéve	64	6
utasítja	64	8
területi	64	8
felkért	64	7
közlekedési	64	11
aus	64	3
bekezdésben	64	11
idő	64	3
decision	64	8
projects	64	8
halászati	64	9
elnökét	63	7
szempontjából	63	13
provisions	63	10
tiszteletben	63	12
but	63	3
jellegű	62	7
javaslata	62	9
ii	62	2
veszi	62	5
2a	62	2
követő	62	6
valamely	62	8
használható	62	11
területen	62	9
műholdas	62	8
qui	62	3
ipari	61	5
elősegítése	61	11
szerepet	61	8
zu	61	2
álló	61	4
legyen	61	6
tagállamoknak	61	13
products	61	8
ahhoz	61	5
módosításokat	60	13
szintű	60	6
rendeletnek	60	11
kapcsolatban	60	12
megállapított	60	13
megjegyzi	60	9
amelyet	59	7
there	59	5
wieder	59	6
céljából	59	8
rendszer	59	8
bizonyos	59	8
level	59	5
however	59	7
made	59	4
civil	59	5
továbbítsa	58	10
pedig	58	5
ezeket	58	6
tárgyalások	58	11
oder	58	4
korábbi	58	7
polgári	58	7
élelmiszeripari	58	15
tanácshoz	57	9
alkalmazni	57	10
jelentésére	57	11
una	57	3
mellett	57	7
továbbra	57	8
teszi	57	5
eszközök	57	8
szerepét	57	8
öt	57	2
kutatási	56	8
szabályzata	56	11
létrehozásáról	56	14
javaslatot	56	10
general	56	7
átnyúló	56	7
amelynek	56	8
feltételek	56	10
claim	56	5
természetesen	56	13
crossborder	56	11
aid	56	3
származó	56	8
esetekben	55	9
lapban	55	6
nyilvánított	55	12
határokon	55	9
kívül	55	5
up	55	2
kiegészítő	55	10
támogatást	55	10
ensure	55	6
ítéli	55	5
környezet	55	9
tették	54	6
jogszabályok	54	12
bármely	54	7
felelős	54	7
so	54	2
adopted	54	7
tagja	54	5
kapcsolódó	53	10
technikai	53	9
out	53	3
trade	53	5
különös	53	7
one	53	3
jelenlegi	53	9
specific	52	8
megjegyzések	52	12
módosításáról	52	13
lesung	52	6
irányelvre	52	10
két	52	3
időszakra	52	9
tagállamokban	52	13
biztosítani	52	11
többek	52	6
millió	52	6
emlékeztet	52	10
negotiations	52	12
konzultációs	51	12
legkésőbb	51	9
szereplő	51	8
than	51	4
áll	51	3
együtt	51	6
ami	51	3
policy	51	6
elért	51	5
megegyezéses	51	12
a6	50	2
módosításai	50	11
konzultáció	50	11
änderungsantrag	50	15
1a	50	2
alapuló	50	7
state	50	5
period	50	6
acp	50	3
igazgatási	50	10
ugyanakkor	49	10
helyébe	49	7
los	49	3
regional	49	8
im	49	2
jelenleg	49	8
hagyományos	49	11
sem	49	3
foods	49	5
consumers	49	9
jog	49	3
foglalja	49	8
instrument	49	10
támogatások	49	11
hanem	49	5
fizetési	49	8
albekezdés	48	10
ellene	48	6
tartózkodás	48	11
szakmai	48	7
legislation	48	11
fontosságát	48	11
jelzés	48	6
committee	48	9
tartalmaz	48	9
üzemeltetési	48	12
terv	48	4
egyik	48	5
volt	48	4
állásfoglalására	48	16
att	48	3
függ	47	4
végleges	47	8
mellette	47	8
miatt	47	5
eine	47	4
január	47	6
jelentés	47	8
így	47	3
content	47	7
major	47	5
növekedés	47	9
fejlődés	47	8
fejlett	47	7
gect	47	4
célkitűzések	47	12
projekt	47	7
javítása	47	8
mezőgazdaság	47	12
uniós	47	5
ou	47	2
ágazat	47	6
hozzáférés	46	10
bizottságok	46	11
bringt	46	6
belüli	46	6
rendelkezik	46	11
vonatkozóan	46	11
lehető	46	6
akár	46	4
időtartamra	46	11
particular	46	10
economic	46	8
take	46	4
authorisation	46	13
gyors	46	5
actions	46	7
magas	46	5
per	46	3
jobb	46	4
előmozdítása	46	12
pártok	46	6
együttes	45	8
any	45	3
közúti	45	6
számos	45	6
azzal	45	5
megállapodások	45	14
tenni	45	5
hasonló	45	7
conditions	45	10
nyelven	45	7
alacsony	45	8
külső	45	5
management	45	10
célok	45	5
egcc	45	4
members	45	7
fisheries	45	9
társaság	45	8
javaslatok	44	10
common	44	6
július	44	6
jan	44	3
c6	44	2
személyek	44	9
végrehajtási	44	12
munkavállalók	44	13
véve	44	4
artikel	44	7
gazdaság	44	8
foglalt	44	7
én	44	2
lesz	44	4
költségvetés	44	12
ügyvezető	44	9
hozzájárulási	43	13
szövegtervezet	43	14
intézett	43	8
base	43	4
sor	43	3
das	43	3
auf	43	3
dem	43	3
formájában	43	10
számított	43	9
három	43	5
táplálkozásra	43	13
need	43	4
time	43	4
egyre	43	5
some	43	4
védelme	43	7
objective	43	9
kiépítési	43	9
hozzájárulás	43	12
javasolja	43	9
miniszteri	43	10
roure	43	5
gazdálkodási	43	12
nyelvi	42	6
could	42	5
másik	42	5
rendeletben	42	11
fő	42	2
egyedi	42	6
emberi	42	6
communication	42	13
ben	42	3
bíró	42	4
nyújtott	42	8
provided	42	8
those	42	5
framework	42	9
environmental	42	13
sustainable	42	11
foglalkoztatási	42	15
aux	42	3
parlamenttel	42	12
sürgeti	42	7
euszerződés	41	11
típusa	41	6
term	41	4
módosítása	41	10
végrehajtása	41	12
stratégia	41	9
3a	41	2
tartalmazza	41	11
hozzáadott	41	10
risk	41	4
jelzések	41	8
europe	41	6
energia	41	7
your	41	4
first	41	5
support	41	7
megvalósítása	41	13
többéves	41	8
források	41	8
martine	41	7
technológiák	41	12
renewable	41	9
vevő	40	4
por	40	3
március	40	7
szerv	40	5
digitális	40	9
legfeljebb	40	10
legnagyobb	40	10
lehetséges	40	10
majd	40	4
tápanyag	40	8
further	40	7
assessment	40	10
basis	40	5
rendelkező	40	10
appropriate	40	11
hozzá	40	5
provide	40	7
impact	40	6
system	40	6
ahol	40	4
implementation	40	14
different	40	9
quality	40	7
hosszú	40	6
services	40	8
rámutat	40	7
biztosítja	40	10
lehetőséget	40	11
című	40	4
jogalaptól	39	10
jelzi	39	5
hibák	39	5
álláspontját	39	12
rules	39	5
nevezetesen	39	11
alkalmazandó	39	12
vészhelyzet	39	11
anyag	39	5
jó	39	2
law	39	3
kis	39	3
possible	39	8
tesz	39	4
közvetlen	39	9
szabályzat	39	10
set	39	3
felkéri	39	7
évi	39	3
funding	39	7
szervek	39	7
szektor	39	7
ügynökség	39	9
action	39	6
jelölései	38	9
normál	38	6
elektronikus	38	12
nincs	38	5
melyek	38	6
november	38	8
tagállami	38	9
ban	38	3
strukturális	38	12
account	38	7
bizottsági	38	10
necessary	38	9
make	38	4
since	38	5
jelentéssel	38	11
információ	38	10
when	38	4
állnak	38	6
years	38	5
részvétel	38	9
participation	38	13
euró	38	4
gazdálkodás	38	11
pozitív	38	7
nyilvánvaló	37	11
jóváhagyja	37	10
működő	37	6
position	37	8
para	37	4
alábbi	37	6
járművek	37	8
található	37	9
pontjában	37	9
lehessen	37	8
időszak	37	7
egészségügyi	37	12
létre	37	5
part	37	4
given	37	5
független	37	9
nyilvános	37	9
poverty	37	7
institutions	37	12
dei	37	3
environment	37	11
előterjesztette	37	15
vállalatok	37	10
kidolgozásának	36	14
szállítási	36	10
kíván	36	5
támogatja	36	9
többi	36	5
ezzel	36	5
ösztönzése	36	10
élelmiszerbiztonsági	36	20
higher	36	6
szánt	36	5
helyénvaló	36	10
high	36	4
internal	36	8
táplálkozással	36	14
kérelem	36	7
kérelmet	36	8
procedures	36	10
meghosszabbítható	36	17
agency	36	6
nyomon	36	6
egyenlő	36	7
kölcsönös	36	9
rádiónavigációs	36	15
response	36	8
prioritást	36	10
sok	36	3
termelők	36	8
tengely	36	7
rural	36	5
javaslataiban	35	13
félkövér	35	8
kiemelés	35	8
javasolnak	35	10
javításokat	35	11
kihagyások	35	10
változatban	35	11
milyen	35	6
annex	35	5
guidelines	35	10
agreements	35	10
konkrét	35	7
védelem	35	7
tartó	35	5
being	35	5
június	35	6
most	35	4
administrative	35	14
used	35	4
segítséget	35	10
információk	35	11
reduction	35	9
jelentősen	35	10
based	35	5
taken	35	5
rendelkezéseket	35	15
local	35	5
bíróság	35	7
feltehetően	35	11
ugyanezen	35	9
intézmény	35	9
alapok	35	6
convention	35	10
magán	35	5
felügyeleti	35	11
alkalommal	35	10
transport	35	9
erdők	35	5
szöveghez	34	9
betűkkel	34	8
kiemelve	34	8
részeiben	34	9
egyeztetni	34	10
biztosítják	34	11
alkalmazott	34	11
szükségességét	34	14
szerződések	34	11
egyszerűsített	34	14
ist	34	3
meglévő	34	7
részletes	34	9
mit	34	3
rendelkezések	34	13
őket	34	4
eljárást	34	8
biztosítására	34	13
fish	34	4
szemben	34	7
scientific	34	10
well	34	4
hatást	34	6
both	34	4
draft	34	5
minőségi	34	8
támogatási	34	10
maria	34	5
globális	34	8
eredményeket	34	12
membres	34	7
euban	34	5
cette	34	5
politique	34	9
betű	33	4
osztályoknak	33	12
osztályokkal	33	12
javaslatára	33	11
hatóságok	33	9
célzó	33	5
használt	33	8
idegenforgalmi	33	14
megállapítja	33	12
hat	33	3
től	33	3
nicht	33	5
rendelettel	33	11
nyújt	33	5
kerül	33	5
pontja	33	6
szabad	33	6
where	33	5
gyakorolt	33	9
általánosan	33	11
kérelmező	33	9
ad	33	2
strategy	33	8
certain	33	7
továbbiakban	33	12
education	33	9
foglalkoztatás	33	14
európa	33	6
ep	33	2
elnöke	33	6
vidékfejlesztés	33	15
energiaügyi	32	11
definition	32	10
current	32	7
bizottsággal	32	12
lennie	32	6
országokban	32	11
száma	32	5
hatással	32	8
re	32	2
hatályba	32	8
egyértelműen	32	12
május	32	5
természetes	32	11
consumer	32	8
companies	32	9
sector	32	6
cases	32	5
szegénység	32	10
integráció	32	10
szeptember	32	10
fontosságú	32	10
általában	32	9
tent	32	4
indítvány	32	9
igazgatótanács	32	14
qu	32	2
hogyan	32	6
energiaforrások	32	15
élelmiszercélú	32	14
legislative	31	11
place	31	5
al	31	2
végrehajtásának	31	15
össze	31	5
auch	31	4
rész	31	4
ezáltal	31	7
vett	31	4
képzés	31	6
legyenek	31	8
táplálkozási	31	12
objectives	31	10
within	31	6
several	31	7
currently	31	9
nyilvánosság	31	12
months	31	6
meghatározza	31	12
közösségek	31	10
transzeurópai	31	13
är	31	2
och	31	3
dohai	31	5
akcsországok	31	12
tekintetben	30	11
eljárásnak	30	10
down	30	4
lényegesen	30	10
módosítani	30	10
con	30	3
tudják	30	6
érintő	30	6
zur	30	3
werden	30	6
nach	30	4
dass	30	4
rendeletet	30	10
csökkentett	30	11
jelenti	30	7
advertising	30	11
nutrition	30	9
total	30	5
használata	30	10
képviselő	30	9
already	30	7
whether	30	7
about	30	5
vannak	30	6
szellemi	30	8
provides	30	8
számú	30	5
plus	30	4
bele	30	4
lenne	30	5
two	30	3
report	30	6
véleményére	30	11
kormányzati	30	11
igazgató	30	8
milliárd	30	8
payment	30	7
nomina	30	6
nemek	30	5
számvevőszéki	30	13
piac	29	4
infrastruktúra	29	14
teszik	29	6
kommunikációs	29	13
nuts	29	4
egységes	29	8
tevékenység	29	11
rat	29	3
végzett	29	7
napi	29	4
über	29	4
azokra	29	6
kevesebb	29	8
amelyre	29	7
betöltött	29	9
összefüggésben	29	14
sérelme	29	7
közegészségügyi	29	15
elsősorban	29	10
authority	29	9
see	29	3
available	29	9
who	29	3
process	29	7
információkat	29	13
véleménye	29	9
határidő	29	8
kap	29	3
magában	29	7
present	29	7
lisbon	29	6
increase	29	8
jelent	29	6
rendkívül	29	9
contribution	29	12
international	29	13
elé	29	3
developing	29	10
igen	29	4
legkevésbé	29	10
budget	29	6
kohézió	29	7
növelése	29	8
üzleti	29	6
giuseppe	29	8
élvező	29	6
egyenlőség	29	10
contre	29	6
pas	29	3
voltam	29	6
forêts	29	6
cikkében	28	8
április	28	7
erster	28	6
jobban	28	6
függetlenül	28	11
da	28	2
ellenőrzés	28	10
meghatározása	28	13
október	28	7
közvetlenül	28	11
engedély	28	8
tápanyagok	28	10
without	28	7
list	28	4
innováció	28	9
scope	28	5
tanácsot	28	8
context	28	7
including	28	9
következőket	28	12
through	28	7
külön	28	5
conseil	28	7
three	28	5
draftsman	28	9
number	28	6
concerns	28	8
third	28	5
támogatott	28	10
biológiai	28	9
illetően	28	8
kereskedelem	28	12
egnos	28	5
commissione	28	11
mandato	28	7
être	28	4
felé	28	4
sont	28	4
számvevőszéknek	28	15
védelmi	28	7
för	28	3
bioüzemanyagok	28	14
szükségleteit	27	13
tényleges	27	9
edit	27	4
kizárólag	27	9
minimális	27	9
ersten	27	6
tagállamban	27	11
ta	27	2
előírt	27	6
végrehajtására	27	14
átfogó	27	6
használni	27	9
kiegyensúlyozott	27	16
fogyasztók	27	10
subject	27	7
mennyiségben	27	12
particularly	27	12
iránti	27	6
vonatkoznak	27	11
policies	27	8
systems	27	7
same	27	4
nyilatkozat	27	11
were	27	4
részét	27	6
priority	27	8
lehetőségeket	27	13
parlamentet	27	11
tagok	27	5
egtc	27	4
elsődleges	27	10
tervek	27	6
kérdés	27	6
fejlesztése	27	11
kiemeli	27	7
européen	27	8
hátrányos	27	9
irányító	27	8
energetikai	27	11
maría	26	5
célú	26	4
vizsgálata	26	10
bizottságával	26	13
kívüli	26	6
hatálya	26	7
foglalkozó	26	10
megkülönböztetés	26	16
elkerülése	26	10
maximális	26	9
megelőző	26	8
utolsó	26	6
országban	26	9
tájékoztatja	26	12
létrehozott	26	11
napon	26	5
néhány	26	6
needs	26	5
alap	26	4
does	26	4
do	26	2
haladéktalanul	26	14
means	26	5
right	26	5
over	26	4
kedvező	26	7
célszerű	26	8
light	26	5
main	26	4
because	26	7
szervezetek	26	11
include	26	7
monetáris	26	9
küzdelem	26	8
köz	26	3
keret	26	5
szempontból	26	11
segítségével	26	12
minőségbiztosítási	26	18
tengeri	26	7
távú	26	4
támogatásra	26	11
programme	26	9
ahogyan	26	7
cet	26	3
année	26	5
sokféleség	26	10
fiatalok	26	8
államok	26	7
média	26	5
forestière	26	10
szabályozó	25	10
iii	25	3
josé	25	4
létrehozása	25	11
p5_ta	25	5
feladata	25	8
kötelező	25	8
része	25	5
szabályokat	25	11
képest	25	6
we	25	2
levels	25	6
technical	25	9
them	25	4
existing	25	8
hónapon	25	7
érdekelt	25	8
point	25	5
biztosított	25	11
allow	25	5
case	25	4
eredeti	25	7
fejlesztés	25	10
költségek	25	9
concerned	25	9
very	25	4
way	25	3
following	25	9
even	25	4
elején	25	6
kitétel	25	7
körű	25	4
földrajzi	25	9
assistance	25	10
areas	25	5
programmes	25	10
production	25	10
feladatait	25	10
előzetes	25	8
gargani	25	7
oktatási	25	8
della	25	5
che	25	3
innovatív	25	9
year	25	4
capital	25	7
resources	25	9
oktatás	25	7
plan	25	4
integrált	25	9
megőrzése	25	9
közleményére	25	12
élő	25	3
városi	25	6
kulcsfontosságú	25	15
szerzett	24	8
piacra	24	6
helyes	24	6
egész	24	5
lép	24	3
került	24	6
berichterstatter	24	16
einer	24	5
vállalkozás	24	11
richtlinie	24	10
személy	24	7
recital	24	7
nagyon	24	6
értéket	24	7
after	24	5
élelmiszerekre	24	14
clear	24	5
provision	24	9
kockázatok	24	10
hónap	24	5
án	24	2
especially	24	10
apply	24	5
tápértékkel	24	11
far	24	3
work	24	4
amount	24	6
value	24	5
added	24	5
manuel	24	6
progress	24	8
funds	24	5
efforts	24	7
végrehajtásáról	24	15
támogatására	24	12
hálózat	24	7
hálózatok	24	9
meghagyási	24	10
polgárok	24	8
érdekű	24	6
tene	24	4
networks	24	8
ösztönzi	24	8
kinevezett	24	10
elkövetkezendő	24	14
ces	24	3
hozzáférést	24	11
emploi	24	6
növényi	24	7
negatív	24	7
kapcsán	24	7
munkahelyek	24	11
globalizáció	24	12
erdőgazdálkodás	24	15
felszólítja	24	11
jegyzett	24	8
bizottsághoz	23	12
industry	23	8
antonio	23	7
újból	23	5
szándékozik	23	11
szöveget	23	8
marie	23	5
egyértelmű	23	10
ellenőrzések	23	12
alkalmazását	23	12
dieser	23	6
elfogadása	23	10
irányelvnek	23	11
sikeres	23	7
rendelkezésére	23	14
4a	23	2
mértékű	23	7
állításokat	23	11
használatának	23	13
végső	23	5
nutritional	23	11
elérhető	23	8
eljárással	23	10
tekintetbe	23	10
csökkentésére	23	13
követelményeknek	23	16
információt	23	11
lapjában	23	8
korlátozott	23	11
tanulmányok	23	11
szóban	23	6
makes	23	5
essential	23	9
fennálló	23	8
mindig	23	6
situation	23	9
now	23	3
application	23	11
many	23	4
óta	23	3
increased	23	9
instruments	23	11
activities	23	10
financing	23	9
inkább	23	6
bírósági	23	8
nyújtásának	23	11
lehetne	23	7
elérték	23	7
mindenki	23	8
égalité	23	7
irányítás	23	9
gestion	23	7
kezdeményezések	23	15
valós	23	5
munka	23	5
behörde	23	7
forestier	23	9
preparedness	23	12
epas	23	4
jól	22	3
fejlesztésére	22	13
principle	22	9
costs	22	5
elfogadását	22	11
justification	22	13
benyújtotta	22	11
entre	22	5
europea	22	7
juri	22	4
kommission	22	10
járművezető	22	11
os	22	2
országokkal	22	11
eg	22	2
sowie	22	5
robert	22	6
p5	22	2
folyamatos	22	10
képzési	22	7
eleget	22	6
lead	22	4
joga	22	4
fat	22	3
bármilyen	22	9
tehát	22	5
piacon	22	6
data	22	4
concerning	22	10
before	22	6
aim	22	3
achieved	22	8
reduce	22	6
amellyel	22	8
értékelést	22	10
intézkedés	22	10
proposes	22	8
people	22	6
sources	22	7
population	22	10
nyilatkozatot	22	13
lehetnek	22	8
állandó	22	7
ferreira	22	8
view	22	4
közbeszerzési	22	13
országoknak	22	11
módosítások	22	11
end	22	3
határozatra	22	11
megvalósításához	22	16
egyesült	22	8
jövőbeli	22	8
szélesebb	22	9
megvalósított	22	13
agencies	22	8
lehetőség	22	9
qa	22	2
ösztönözni	22	10
politikák	22	9
eur	22	3
nyílt	22	5
elérése	22	7
használják	22	10
javaslatokat	22	12
erőforrások	22	11
som	22	3
secteur	22	7
elem	22	4
biomassza	22	9
támogassa	22	9
energiák	22	8
share	22	5
felkészültségi	22	14
i2010	22	5
lényeges	21	8
szolgáltatásokat	21	16
hivatkozás	21	10
helyett	21	7
anne	21	4
utalja	21	6
ügyet	21	5
léptetni	21	8
budg	21	4
egyetlen	21	8
erre	21	4
végre	21	5
feltéve	21	7
számát	21	6
cím	21	3
alkalmazása	21	11
időszakban	21	10
indokolt	21	8
michael	21	7
eltérő	21	6
általi	21	6
rendszeres	21	10
egészséges	21	10
telítetlen	21	10
ezeknek	21	7
salt	21	4
terms	21	5
figyelemmel	21	11
evaluation	21	10
included	21	8
képes	21	5
issues	21	6
tájékoztatás	21	12
respect	21	7
játszott	21	8
relevant	21	8
greater	21	7
határozatot	21	11
mellékletben	21	12
forgó	21	5
according	21	9
limited	21	7
standards	21	9
esetleges	21	9
regarding	21	9
segíti	21	6
tudomásul	21	9
lehetőségek	21	11
jogosult	21	8
határozza	21	9
akik	21	4
rapid	21	5
discrimination	21	14
programokat	21	11
létrehozását	21	12
egyezmény	21	9
forms	21	5
szakaszainak	21	12
fog	21	3
hozzájárulást	21	13
korábban	21	8
iránymutatások	21	14
second	21	6
priorities	21	10
agenzie	21	7
office	21	6
lutte	21	5
été	21	3
entreprises	21	11
testület	21	8
legfontosabb	21	12
hozzájárulhat	21	13
hafen	21	5
genehmigung	21	11
iránymutatás	21	12
restructurations	21	16
shetlandi	21	9
vessels	21	7
termelési	21	9
heating	21	7
hong	21	4
vegyék	20	6
accordance	20	10
jóváhagyott	20	11
nyújtanak	20	9
reference	20	9
konzultációt	20	12
richard	20	7
peter	20	5
reglamento	20	10
comisión	20	8
emellett	20	8
vonatkozásában	20	14
text	20	4
wurde	20	5
vom	20	3
ra	20	2
benyújtott	20	10
rendelkezéseinek	20	16
hatályon	20	8
ahogy	20	5
számukra	20	8
maximum	20	7
aktív	20	5
engedélyezett	20	13
tekinteni	20	9
alkalmazásáról	20	14
közül	20	5
authorities	20	11
required	20	8
azaz	20	4
free	20	4
field	20	5
promotion	20	9
avoid	20	5
hoz	20	3
individual	20	10
fejezetben	20	10
hatóságnak	20	10
neve	20	4
későbbi	20	7
single	20	6
relating	20	8
due	20	3
established	20	11
achieve	20	7
alkalmas	20	8
requirements	20	12
ideértve	20	8
mert	20	4
decisions	20	9
tartása	20	7
meghallgatása	20	13
thomas	20	6
reading	20	7
gyakorlat	20	9
fent	20	4
finanszírozott	20	14
kohéziós	20	8
bodies	20	6
regions	20	7
gnss	20	4
felhasználását	20	14
partnerség	20	10
helyzet	20	7
megvalósítását	20	14
beruházások	20	11
uniónak	20	7
esélyegyenlőségi	20	16
etnikai	20	7
niveau	20	6
demokratikus	20	12
commune	20	7
védelmére	20	9
nous	20	4
pays	20	4
tárgyalási	20	10
növekvő	20	7
kultúrák	20	8
részvényeket	20	12
szereplők	19	9
keretén	19	7
john	19	4
son	19	3
